"","sample","stage","tissue","NF","caste","VM","colony"
"Bee_AQG.1","Bee_AQG.1","8","gaster",NA,"queen","mated","1"
"Bee_AQG.2","Bee_AQG.2","8","gaster",NA,"queen","mated","2"
"Bee_AQG.3","Bee_AQG.3","8","gaster",NA,"queen","mated","3"
"Bee_AQH.1","Bee_AQH.1","8","head",NA,"queen","mated","1"
"Bee_AQH.2","Bee_AQH.2","8","head",NA,"queen","mated","2"
"Bee_AQH.3","Bee_AQH.3","8","head",NA,"queen","mated","3"
"Bee_AQM.1","Bee_AQM.1","8","mesosoma",NA,"queen","mated","1"
"Bee_AQM.2","Bee_AQM.2","8","mesosoma",NA,"queen","mated","2"
"Bee_AQM.3","Bee_AQM.3","8","mesosoma",NA,"queen","mated","3"
"Bee_E.1","Bee_E.1","1","egg",NA,"worker",NA,"1"
"Bee_E.2","Bee_E.2","1","egg",NA,"worker",NA,"2"
"Bee_E.3","Bee_E.3","1","egg",NA,"worker",NA,"3"
"Bee_FG.1","Bee_FG.1","8","gaster","forager","worker",NA,"1"
"Bee_FG.2","Bee_FG.2","8","gaster","forager","worker",NA,"2"
"Bee_FG.3","Bee_FG.3","8","gaster","forager","worker",NA,"3"
"Bee_FH.1","Bee_FH.1","8","head","forager","worker",NA,"1"
"Bee_FH.2","Bee_FH.2","8","head","forager","worker",NA,"2"
"Bee_FH.3","Bee_FH.3","8","head","forager","worker",NA,"3"
"Bee_FM.1","Bee_FM.1","8","mesosoma","forager","worker",NA,"1"
"Bee_FM.2","Bee_FM.2","8","mesosoma","forager","worker",NA,"2"
"Bee_FM.3","Bee_FM.3","8","mesosoma","forager","worker",NA,"3"
"Bee_GP.1","Bee_GP.1","7","pupa",NA,"queen",NA,"1"
"Bee_GP.2","Bee_GP.2","7","pupa",NA,"queen",NA,"2"
"Bee_GP.3","Bee_GP.3","7","pupa",NA,"queen",NA,"3"
"Bee_GP.4","Bee_GP.4","7","pupa",NA,"queen",NA,"1"
"Bee_GP.5","Bee_GP.5","7","pupa",NA,"queen",NA,"1"
"Bee_L1.1","Bee_L1.1","2","larva",NA,"worker",NA,"1"
"Bee_L1.2","Bee_L1.2","2","larva",NA,"worker",NA,"2"
"Bee_L1.3","Bee_L1.3","2","larva",NA,"worker",NA,"3"
"Bee_MG.1","Bee_MG.1","8","gaster",NA,"male",NA,"1"
"Bee_MG.2","Bee_MG.2","8","gaster",NA,"male",NA,"2"
"Bee_MG.3","Bee_MG.3","8","gaster",NA,"male",NA,"3"
"Bee_MH.1","Bee_MH.1","8","head",NA,"male",NA,"1"
"Bee_MH.2","Bee_MH.2","8","head",NA,"male",NA,"2"
"Bee_MH.3","Bee_MH.3","8","head",NA,"male",NA,"3"
"Bee_MM.1","Bee_MM.1","8","mesosoma",NA,"male",NA,"1"
"Bee_MM.2","Bee_MM.2","8","mesosoma",NA,"male",NA,"2"
"Bee_MM.3","Bee_MM.3","8","mesosoma",NA,"male",NA,"3"
"Bee_MP.1","Bee_MP.1","7","pupa",NA,"male",NA,"1"
"Bee_MP.2","Bee_MP.2","7","pupa",NA,"male",NA,"2"
"Bee_MP.3","Bee_MP.3","7","pupa",NA,"male",NA,"3"
"Bee_NG.1","Bee_NG.1","8","gaster","nurse","worker",NA,"1"
"Bee_NG.2","Bee_NG.2","8","gaster","nurse","worker",NA,"2"
"Bee_NG.3","Bee_NG.3","8","gaster","nurse","worker",NA,"3"
"Bee_NH.1","Bee_NH.1","8","head","nurse","worker",NA,"1"
"Bee_NH.2","Bee_NH.2","8","head","nurse","worker",NA,"2"
"Bee_NH.3","Bee_NH.3","8","head","nurse","worker",NA,"3"
"Bee_NM.1","Bee_NM.1","8","mesosoma","nurse","worker",NA,"1"
"Bee_NM.2","Bee_NM.2","8","mesosoma","nurse","worker",NA,"2"
"Bee_NM.3","Bee_NM.3","8","mesosoma","nurse","worker",NA,"3"
"Bee_SL2.1","Bee_SL2.1","3","larva",NA,"queen",NA,"2"
"Bee_SL2.2","Bee_SL2.2","3","larva",NA,"queen",NA,"2"
"Bee_SL2.3","Bee_SL2.3","3","larva",NA,"queen",NA,"3"
"Bee_SL3.1","Bee_SL3.1","4","larva",NA,"queen",NA,"3"
"Bee_SL3.2","Bee_SL3.2","4","larva",NA,"queen",NA,"3"
"Bee_SL3.3","Bee_SL3.3","4","larva",NA,"queen",NA,"3"
"Bee_SL4.1","Bee_SL4.1","5","larva",NA,"queen",NA,"1"
"Bee_SL4.2","Bee_SL4.2","5","larva",NA,"queen",NA,"2"
"Bee_SL4.3","Bee_SL4.3","5","larva",NA,"queen",NA,"3"
"Bee_SL5.1","Bee_SL5.1","6","larva",NA,"queen",NA,"1"
"Bee_SL5.2","Bee_SL5.2","6","larva",NA,"queen",NA,"2"
"Bee_SL5.3","Bee_SL5.3","6","larva",NA,"queen",NA,"3"
"Bee_VQG.1","Bee_VQG.1","8","gaster",NA,"queen","virgin","1"
"Bee_VQG.2","Bee_VQG.2","8","gaster",NA,"queen","virgin","2"
"Bee_VQG.3","Bee_VQG.3","8","gaster",NA,"queen","virgin","3"
"Bee_VQH.1","Bee_VQH.1","8","head",NA,"queen","virgin","1"
"Bee_VQH.2","Bee_VQH.2","8","head",NA,"queen","virgin","2"
"Bee_VQH.3","Bee_VQH.3","8","head",NA,"queen","virgin","3"
"Bee_VQM.1","Bee_VQM.1","8","mesosoma",NA,"queen","virgin","1"
"Bee_VQM.2","Bee_VQM.2","8","mesosoma",NA,"queen","virgin","2"
"Bee_VQM.3","Bee_VQM.3","8","mesosoma",NA,"queen","virgin","3"
"Bee_WL2.1","Bee_WL2.1","3","larva",NA,"worker",NA,"2"
"Bee_WL2.2","Bee_WL2.2","3","larva",NA,"worker",NA,"2"
"Bee_WL2.3","Bee_WL2.3","3","larva",NA,"worker",NA,"3"
"Bee_WL3.1","Bee_WL3.1","4","larva",NA,"worker",NA,"3"
"Bee_WL3.2","Bee_WL3.2","4","larva",NA,"worker",NA,"3"
"Bee_WL3.3","Bee_WL3.3","4","larva",NA,"worker",NA,"3"
"Bee_WL4.1","Bee_WL4.1","5","larva",NA,"worker",NA,"1"
"Bee_WL4.2","Bee_WL4.2","5","larva",NA,"worker",NA,"2"
"Bee_WL4.3","Bee_WL4.3","5","larva",NA,"worker",NA,"3"
"Bee_WL5.1","Bee_WL5.1","6","larva",NA,"worker",NA,"1"
"Bee_WL5.2","Bee_WL5.2","6","larva",NA,"worker",NA,"2"
"Bee_WL5.3","Bee_WL5.3","6","larva",NA,"worker",NA,"3"
"Bee_WP.1","Bee_WP.1","7","pupa",NA,"worker",NA,"1"
"Bee_WP.2","Bee_WP.2","7","pupa",NA,"worker",NA,"2"
"Bee_WP.3","Bee_WP.3","7","pupa",NA,"worker",NA,"3"
"Bee_WP.4","Bee_WP.4","7","pupa",NA,"worker",NA,"1"
