"LnL","theta","tau","alpha.Cat1","alpha.Cat2","alpha.Cat3","stage","species"
"-488405.685401","0.011103312724","0.167543160644","0.200580162002","-0.02998255704","0.206125843396","larva","ant"
"LnL","theta","tau","alpha.Cat1","alpha.Cat2","alpha.Cat3","larva","ant"
"-488437.774434","0.0111034410121","0.167543166097","0.19742164435","0.144885428982","0.158341982959","pupa","ant"
"LnL","theta","tau","alpha.Cat1","alpha.Cat2","alpha.Cat3","pupa","ant"
"-488299.226569","0.0110829077035","0.167543605575","0.180946008738","0.0777907753026","0.384731288893","head","ant"
"LnL","theta","tau","alpha.Cat1","alpha.Cat2","alpha.Cat3","head","ant"
"-488299.226569","0.0110829077035","0.167543605575","0.180946008738","0.0777907753026","0.384731288893","thorax","ant"
"LnL","theta","tau","alpha.Cat1","alpha.Cat2","alpha.Cat3","thorax","ant"
"-488310.934184","0.011122284608","0.167542717852","0.176862222211","0.297016902074","0.128246992769","abdomen","ant"
"LnL","theta","tau","alpha.Cat1","alpha.Cat2","alpha.Cat3","abdomen","ant"
"-120216.971917","6.84724814548e-05","0.000421211181363","0.236881679675","-0.28068602725","0.25042100949","larva","bee"
"LnL","theta","tau","alpha.Cat1","alpha.Cat2","alpha.Cat3","larva","bee"
"-120231.341636","6.84737164658e-05","0.000421211176972","0.226137631297","0.382473237436","0.373978202962","pupa","bee"
"LnL","theta","tau","alpha.Cat1","alpha.Cat2","alpha.Cat3","pupa","bee"
"-120235.516704","6.84771708333e-05","0.00042121101386","0.234863899462","0.193275627453","0.220383354196","head","bee"
"LnL","theta","tau","alpha.Cat1","alpha.Cat2","alpha.Cat3","head","bee"
"-120199.542871","6.84962578818e-05","0.000421210101774","0.204909712949","0.363995955657","0.446023491467","thorax","bee"
"LnL","theta","tau","alpha.Cat1","alpha.Cat2","alpha.Cat3","thorax","bee"
"-120119.232327","6.85009907679e-05","0.000421209950596","0.121731063539","0.282969609816","0.415607255083","abdomen","bee"
"LnL","theta","tau","alpha.Cat1","alpha.Cat2","alpha.Cat3","abdomen","bee"
